branch_idx,line,flow,limit,utilization,cost,capacity
0,True,644.7744031011131,2444.0,26.38193138711592,138231.89842085837,277116.79000000004
1,True,555.1074808691209,6220.0,8.9245575702431,138231.89842085837,277116.79000000004
2,True,698.2276159649743,2785.0,25.071009549909313,138231.89842085837,277116.79000000004
3,True,1849.9999999105084,1850.0,99.99999999516261,138231.89842085837,277116.79000000004
4,True,274.7869426081975,3395.0,8.0938716526715,138231.89842085837,277116.79000000004
5,True,644.7744031011131,2444.0,26.38193138711592,138231.89842085837,277116.79000000004
6,True,919.5613457093107,7400.0,12.426504671747441,138231.89842085837,277116.79000000004
7,True,979.9999996599325,980.0,99.99999996529924,138231.89842085837,277116.79000000004
8,True,555.1074808691209,6220.0,8.9245575702431,138231.89842085837,277116.79000000004
9,True,1294.8925190413877,1950.0,66.404744566225,138231.89842085837,277116.79000000004
10,True,280.3205382609234,3873.0,7.237814052696188,138231.89842085837,277116.79000000004
11,True,1049.9999994768195,1050.0,99.99999995017329,138231.89842085837,277116.79000000004
12,True,292.94776751169286,9350.0,3.133131203333613,138231.89842085837,277116.79000000004
13,True,698.2276159649743,2785.0,25.071009549909313,138231.89842085837,277116.79000000004
14,True,1791.175383910356,5173.0,34.62546653605946,138231.89842085837,277116.79000000004
15,True,1849.9999999105084,1850.0,99.99999999516261,138231.89842085837,277116.79000000004
16,True,1294.8925190413877,1950.0,66.404744566225,138231.89842085837,277116.79000000004
17,True,1049.9999994768195,1050.0,99.99999995017329,138231.89842085837,277116.79000000004
18,True,757.0522319651268,1530.0,49.48053803693639,138231.89842085837,277116.79000000004
19,True,274.7869426081975,3395.0,8.0938716526715,138231.89842085837,277116.79000000004
20,True,919.5613457093107,7400.0,12.426504671747441,138231.89842085837,277116.79000000004
21,True,979.9999996599325,980.0,99.99999996529924,138231.89842085837,277116.79000000004
22,True,280.3205382609234,3873.0,7.237814052696188,138231.89842085837,277116.79000000004
23,True,292.94776751169286,9350.0,3.133131203333613,138231.89842085837,277116.79000000004
24,True,1791.175383910356,5173.0,34.62546653605946,138231.89842085837,277116.79000000004
25,True,757.0522319651268,1530.0,49.48053803693639,138231.89842085837,277116.79000000004
